,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance,home_score_ex,away_score_ex
2,1999/10/03,29,3,13:00,鳥栖,鳥栖,0,2,大宮,試合終了,,2426,,
3,1999/10/03,29,4,13:59,山形市,山形,2,1,Ｆ東京,試合終了,,2417,,
4,1999/10/03,29,5,14:00,仙台,仙台,1,0,甲府,試合終了,,5038,1,0
0,1999/10/11,30,1,13:00,小瀬,甲府,0,2,新潟,試合終了,,1457,,
1,1999/10/11,30,2,14:00,栃木,大宮,0,2,仙台,試合終了,,1595,,
2,1999/10/11,30,3,14:01,長野,川崎Ｆ,0,3,大分,試合終了,,4119,,
3,1999/10/11,30,4,15:01,札幌,札幌,2,0,山形,試合終了,北海道テレビ放送,9457,,
4,1999/10/11,30,5,18:00,西が丘,Ｆ東京,0,1,鳥栖,試合終了,東京メトロポリタンテレビ,2903,,
0,1999/10/16,31,1,18:00,大分,大分,2,1,甲府,試合終了,,3641,1,0
1,1999/10/17,31,2,13:00,鳥栖,鳥栖,0,0,仙台,試合終了,サガテレビ（録）,2514,0,0
2,1999/10/17,31,3,13:01,江戸川,Ｆ東京,0,1,札幌,試合終了,東京メトロポリタンテレビ（録）,4605,,
3,1999/10/17,31,4,14:00,山形市,山形,0,2,川崎Ｆ,試合終了,,2523,,
4,1999/10/18,31,5,19:00,新潟,新潟,0,1,大宮,試合終了,,2642,,
0,1999/10/24,32,1,13:00,仙台,仙台,0,1,新潟,試合終了,,6194,,
1,1999/10/24,32,2,13:03,札幌,札幌,1,0,鳥栖,試合終了,テレビ北海道,9363,,
2,1999/10/24,32,3,14:01,大宮,大宮,2,3,大分,試合終了,,2245,,
3,1999/10/24,32,4,14:01,等々力,川崎Ｆ,3,2,Ｆ東京,試合終了,,13812,,
4,1999/10/25,32,5,19:00,小瀬,甲府,3,0,山形,試合終了,,1040,,
0,1999/10/30,33,1,13:03,駒沢,Ｆ東京,2,0,甲府,試合終了,東京メトロポリタンテレビ（録）,3326,,
1,1999/10/31,33,2,12:31,札幌,札幌,1,2,川崎Ｆ,試合終了,ＮＨＫ札幌放送局,13738,0,1
2,1999/10/31,33,3,13:00,佐賀,鳥栖,1,2,新潟,試合終了,,2194,0,1
3,1999/10/31,33,4,13:00,佐伯,大分,1,0,仙台,試合終了,,2365,1,0
4,1999/10/31,33,5,14:00,山形県,山形,1,2,大宮,試合終了,,2237,,
0,1999/11/05,34,1,18:59,等々力,川崎Ｆ,2,1,鳥栖,試合終了,,8945,1,0
1,1999/11/06,34,2,14:02,新潟,新潟,2,1,大分,試合終了,テレビ新潟,4093,1,0
2,1999/11/06,34,3,14:03,仙台,仙台,1,1,山形,試合終了,東日本放送,5437,0,0
3,1999/11/06,34,4,15:01,小瀬,甲府,0,3,札幌,試合終了,,2676,,
4,1999/11/08,34,5,19:03,大宮,大宮,1,0,Ｆ東京,試合終了,,2826,1,0
0,1999/11/13,35,1,19:00,大分,大分,3,2,鳥栖,試合終了,,6341,,
1,1999/11/14,35,2,13:00,駒沢,Ｆ東京,0,1,仙台,試合終了,東京メトロポリタンテレビ（録）,7325,,
2,1999/11/14,35,3,13:36,札幌,札幌,0,1,大宮,試合終了,札幌テレビ放送,13536,,
3,1999/11/14,35,4,14:03,山形県,山形,2,3,新潟,試合終了,山形放送,3616,0,1
4,1999/11/14,35,5,15:00,等々力,川崎Ｆ,3,0,甲府,試合終了,,5092,,
0,1999/11/21,36,1,13:00,仙台,仙台,1,0,札幌,試合終了,,16535,,
1,1999/11/21,36,2,13:00,新潟,新潟,0,1,Ｆ東京,試合終了,新潟総合テレビ,6210,,
2,1999/11/21,36,3,13:00,鳥栖,鳥栖,5,0,甲府,試合終了,,4526,,
3,1999/11/21,36,4,13:00,大分,大分,1,1,山形,試合終了,大分放送（録）,15702,0,0
4,1999/11/21,36,5,13:01,大宮,大宮,2,1,川崎Ｆ,試合終了,,3902,1,0
