,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,group
20,2023-10-03,2,0,01:00:00,ハッザーア・ビン・ザーイド・スタジアム (アル・アイン),アル・アイン,4,2,FKアハル,試合終了,A
21,2023-10-02,2,0,23:00:00,シャールジャ・スタジアム (シャールジャ),シャールジャ,1,0,アル・ファイサリー,試合終了,B
22,2023-10-02,2,0,21:00:00,OKMKスポーツコンプレックス (アルマリク),AGMK,1,2,アル・クウワ・アル・ジャウウィーヤ,試合終了,C
23,2023-10-03,2,0,23:00:00,マルカジイ・スタジアム (ナマンガン),ナフバホール,3,0,ムンバイ・シティ,試合終了,D
24,2023-10-02,2,0,03:00:00,アル＝アウワル・パーク (リヤド),アル・ナスル,3,1,イスティクロル,試合終了,E
25,2023-10-04,2,0,21:00:00,香港スタジアム (香港),傑志,1,2,ライオン・シティ・セーラーズ,試合終了,F
26,2023-10-03,2,0,19:00:00,仁川サッカー競技場 (仁川),仁川ユナイテッド,4,0,カヤ・イロイロ,試合終了,G
27,2023-10-04,2,0,21:00:00,湖州オリンピックスポーツセンター (湖州),浙江,1,2,メルボルン・シティ,試合終了,H
28,2023-10-03,2,0,21:00:00,パトゥムターニースタジアム (バンコク),BGパトゥム・ユナイテッド,2,4,ジョホール・ダルル・タクジム,試合終了,I
29,2023-10-04,2,0,19:00:00,埼玉スタジアム2002 (さいたま),浦和レッズ,6,0,ハノイ,試合終了,J
