,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status,broadcast,attendance
4,2014/10/12,28,5,13:03,チュスタ,鳥取,1,1,長野,試合終了,スカパー！プレミアムサービス,3470
5,2014/10/25,28,6,13:00,沖縄市陸,琉球,1,1,盛岡,試合終了,,520
0,2014/10/18,29,1,13:00,とうスタ,福島,0,0,J-22,試合終了,,811
1,2014/10/18,29,2,13:00,ニッパ球,YS横浜,0,0,琉球,試合終了,,638
2,2014/10/19,29,3,13:00,盛岡南,盛岡,1,1,町田,試合終了,,1568
3,2014/10/19,29,4,13:00,とりスタ,鳥取,1,2,秋田,試合終了,,2441
4,2014/10/19,29,5,13:03,佐久,長野,2,0,相模原,試合終了,スカパー！プレミアムサービス,4179
5,2014/10/19,29,6,16:03,石川西部,金沢,2,0,藤枝,試合終了,スカパー！プレミアムサービス,3399
0,2014/11/01,30,1,13:04,エコパ,藤枝,2,2,長野,試合終了,スカパー！プレミアムサービス,1433
1,2014/11/02,30,2,13:00,ギオンス,相模原,1,0,福島,試合終了,,7860
2,2014/11/02,30,3,13:00,沖縄市陸,琉球,4,2,J-22,試合終了,,5163
3,2014/11/02,30,4,13:00,Ａ‐スタ,秋田,1,3,盛岡,試合終了,,2187
4,2014/11/02,30,5,13:00,とりスタ,鳥取,0,1,金沢,試合終了,,2306
5,2014/11/02,30,6,13:00,町田,町田,2,1,YS横浜,試合終了,,3018
0,2014/11/08,31,1,16:00,石川西部,金沢,3,0,J-22,試合終了,,4692
1,2014/11/09,31,2,13:00,盛岡南,盛岡,0,3,相模原,試合終了,,1623
2,2014/11/09,31,3,13:00,藤枝サ,藤枝,1,2,秋田,試合終了,,819
3,2014/11/09,31,4,13:03,とうスタ,福島,0,1,長野,試合終了,スカパー！プレミアムサービス,1269
4,2014/11/09,31,5,15:00,三ツ沢陸,YS横浜,1,2,鳥取,試合終了,,842
5,2014/11/09,31,6,16:00,町田,町田,4,1,琉球,試合終了,,2950
0,2014/11/16,32,1,13:00,ギオンス,相模原,2,1,秋田,試合終了,,2632
1,2014/11/16,32,2,13:00,町田,町田,2,0,福島,試合終了,,4472
2,2014/11/16,32,3,13:00,とりスタ,鳥取,1,2,J-22,試合終了,,2740
3,2014/11/16,32,4,13:03,長野,長野,3,0,盛岡,試合終了,スカパー！プレミアムサービス,5639
4,2014/11/16,32,5,13:04,沖縄市陸,琉球,0,1,金沢,試合終了,スカパー！プレミアムサービス,1562
5,2014/11/16,32,6,14:00,三ツ沢陸,YS横浜,2,0,藤枝,試合終了,,1139
0,2014/11/23,33,1,13:00,Ａ‐スタ,秋田,1,1,J-22,試合終了,,2147
1,2014/11/23,33,2,13:00,盛岡南,盛岡,1,1,鳥取,試合終了,,3035
2,2014/11/23,33,3,13:00,とうスタ,福島,2,1,琉球,試合終了,,1929
3,2014/11/23,33,4,13:00,石川西部,金沢,4,0,相模原,試合終了,,6168
4,2014/11/23,33,5,13:03,藤枝サ,藤枝,0,1,町田,試合終了,スカパー！プレミアムサービス,2615
5,2014/11/23,33,6,13:03,長野,長野,6,1,YS横浜,試合終了,スカパー！プレミアムサービス／テレビ信州（録）,6619
