,match_date,section_no,match_index_in_section,start_time,stadium,home_team,home_goal,away_goal,away_team,status
246,2025/08/10,25,7,19:00,ユアスタ,仙台,,,徳島,ＶＳ
247,2025/08/10,25,8,19:00,ＮＤスタ,山形,,,水戸,ＶＳ
248,2025/08/10,25,9,19:00,ニンスタ,愛媛,,,鳥栖,ＶＳ
249,2025/08/11,25,10,19:00,みらスタ,山口,,,甲府,ＶＳ
250,2025/08/16,26,1,14:00,プレド,札幌,,,秋田,ＶＳ
251,2025/08/16,26,2,18:00,Ｋｓスタ,水戸,,,磐田,ＶＳ
252,2025/08/16,26,3,18:00,富山,富山,,,今治,ＶＳ
253,2025/08/16,26,4,19:00,ＮＤスタ,山形,,,いわき,ＶＳ
254,2025/08/16,26,5,19:00,フクアリ,千葉,,,徳島,ＶＳ
255,2025/08/16,26,6,19:00,みらスタ,山口,,,仙台,ＶＳ
256,2025/08/16,26,7,19:00,えがおＳ,熊本,,,藤枝,ＶＳ
257,2025/08/17,26,8,18:30,ＪＩＴス,甲府,,,大分,ＶＳ
258,2025/08/17,26,9,19:00,ニンスタ,愛媛,,,大宮,ＶＳ
259,2025/08/17,26,10,19:00,駅スタ,鳥栖,,,長崎,ＶＳ
260,2025/08/23,27,1,18:00,ソユスタ,秋田,,,今治,ＶＳ
261,2025/08/23,27,2,18:00,ハワスタ,いわき,,,大分,ＶＳ
262,2025/08/23,27,3,18:30,ＪＩＴス,甲府,,,札幌,ＶＳ
263,2025/08/23,27,4,19:00,ＮＡＣＫ,大宮,,,熊本,ＶＳ
264,2025/08/23,27,5,19:00,藤枝サ,藤枝,,,愛媛,ＶＳ
265,2025/08/23,27,6,19:00,鳴門大塚,徳島,,,山形,ＶＳ
266,2025/08/23,27,7,19:00,駅スタ,鳥栖,,,水戸,ＶＳ
267,2025/08/23,27,8,19:30,ヤマハ,磐田,,,富山,ＶＳ
268,2025/08/24,27,9,18:00,ピースタ,長崎,,,山口,ＶＳ
269,2025/08/24,27,10,19:00,ユアスタ,仙台,,,千葉,ＶＳ
270,2025/08/30,28,1,14:00,プレド,札幌,,,大宮,ＶＳ
271,2025/08/30,28,2,18:00,Ｋｓスタ,水戸,,,山口,ＶＳ
272,2025/08/30,28,3,18:30,富山,富山,,,熊本,ＶＳ
273,2025/08/30,28,4,19:00,ＮＤスタ,山形,,,鳥栖,ＶＳ
274,2025/08/30,28,5,19:00,フクアリ,千葉,,,甲府,ＶＳ
275,2025/08/30,28,6,19:00,鳴門大塚,徳島,,,秋田,ＶＳ
