,年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送,match_card_id
25,2000,Ｊ２,第２節第１日,03/19(日),13:03,水戸,2-1,大分,ひたちな,2115,スカイパーフェクＴＶ！,5355
26,2000,Ｊ２,第２節第１日,03/19(日),14:01,大宮,2-1,仙台,大宮,3636,スカイパーフェクＴＶ！（録）,5353
27,2000,Ｊ２,第２節第１日,03/19(日),14:03,湘南,1-2,浦和,平塚,14868,Ｊ－ＳＰＯＲＴＳ（録）,5352
28,2000,サテライトリーグ Ａグループ,第２日,03/19(日),14:01,柏,0-3,鹿島,柏,1248,,
29,2000,サテライトリーグ Ｂグループ,第１日,03/19(日),13:59,清水,1-1,磐田,蛇塚Ｇ,145,,
30,2000,サテライトリーグ Ｃグループ,第２日,03/19(日),14:01,神戸,0-3,Ｇ大阪,いぶき旧,58,,
31,2000,サテライトリーグ Ｃグループ,第２日,03/19(日),14:02,京都,4-1,Ｃ大阪,東城陽Ｇ,110,,
32,2000,Ｊ２,第２節第２日,03/20(月・祝),13:04,甲府,0-3,札幌,小瀬,3231,スカイパーフェクＴＶ！,5356
33,2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),14:00,川崎Ｆ,0-1,広島,等々力,5024,ディレクＴＶ（録）,5127
34,2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),14:00,Ｃ大阪,5-2,Ｖ川崎,長居,6771,スカイパーフェクＴＶ！（録）,5123
35,2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),14:04,京都,1-0,Ｇ大阪,西京極,6129,ＫＢＳ京都（録）／ＢＳ,5124
36,2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),14:34,清水,2-1,柏,日本平,11057,テレビ静岡／ディレクＴＶ,5121
37,2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),15:03,横浜FM,1-3,磐田,横浜国,23288,ＴＢＳ（単）,5122
38,2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),15:03,福岡,0-1,鹿島,博多球,12622,Ｊ－ＳＰＯＲＴＳ,5126
39,2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),16:04,市原,1-6,神戸,市原,4113,ＢＳ,5125
40,2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),19:04,Ｆ東京,2-1,名古屋,国立,14368,東京メトロポリタンテレビ／ＢＳ,5128
41,2000,Ｊ２,第３節第１日,03/25(土),18:33,浦和,1-0,大宮,駒場,20189,テレビ埼玉／Ｊ－ＳＰＯＲＴＳ（録）,5357
42,2000,Ｊ２,第３節第２日,03/26(日),13:00,仙台,0-1,鳥栖,仙台,6544,スカイパーフェクＴＶ！（録）,5361
43,2000,Ｊ２,第３節第２日,03/26(日),13:01,新潟,3-2,甲府,新潟,3453,スカイパーフェクＴＶ！（録）,5359
44,2000,Ｊ２,第３節第２日,03/26(日),14:01,山形,1-2,水戸,山形県,1829,スカイパーフェクＴＶ！（録）,5360
45,2000,Ｊ２,第３節第２日,03/26(日),14:03,大分,1-2,湘南,大分,6955,スカイパーフェクＴＶ！,5358
46,2000,サテライトリーグ Ｂグループ,第２日,03/26(日),14:00,Ｖ川崎,1-1,清水,ヴェルＧ,130,,
47,2000,サテライトリーグ Ｂグループ,第２日,03/26(日),14:01,川崎Ｆ,2-1,磐田,麻生Ｇ,418,,
48,2000,サテライトリーグ Ｃグループ,第３日,03/26(日),14:02,神戸,3-1,Ｃ大阪,いぶき旧,107,,
49,2000,サテライトリーグ Ｃグループ,第３日,03/26(日),14:06,広島,6-0,福岡,吉田,132,,
50,2000,Ｊ２,第４節第１日,03/30(木),14:00,札幌,3-0,新潟,室蘭,3162,北海道テレビ／スカイパーフェクＴＶ！,5363
51,2000,Ｊ２,第４節第１日,03/30(木),18:30,甲府,1-0,仙台,小瀬,951,スカイパーフェクＴＶ！（録）,5366
52,2000,Ｊ２,第４節第１日,03/30(木),19:00,鳥栖,0-7,浦和,鳥栖,7954,サガテレビ（録）／Ｊ－ＳＰＯＲＴＳ（録）,5365
53,2000,Ｊ２,第４節第１日,03/30(木),19:02,湘南,5-2,山形,平塚,3559,スカイパーフェクＴＶ！,5362
